Parameter,mean,se_mean,sd,2.50%,97.50%,Rhat
alpha,-1.86,0.006905549,0.21,-2.26,-1.45,1
beta[1],0.007,0.000158966,0.011,-0.014,0.027,1
beta[2],-0.00012,2.94318851191425e-06,0.00019,-0.00051,0.00025,1
beta[3],0.027,0.000415779,0.027,-0.026,0.08,1
beta[4],4e-05,3.36408380120596e-06,0.00023,-0.00041,0.00048,1
beta[5],0.0022,1.87758154757781e-05,0.0012,-2.00E-04,0.0044,1
beta[6],6.1e-05,4.49735214219457e-07,2.8e-05,9e-06,0.000117,1
beta[7],-1.5,0.035520585,1.6,-5.3,0.8,1
beta[8],-12.7,0.030376026,1.9,-16.5,-8.9,1
beta[9],0.0827,2.44021597013566e-05,0.0024,0.0779,0.0876,1
beta[10],-0.14,0.003567271,0.22,-0.6,0.26,1
beta[11],-0.6,0.00546445,0.17,-0.94,-0.27,1
beta[12],-1.4,0.011499994,0.6,-2.6,-0.4,1
beta[13],0.14,0.005213915,0.19,-0.24,0.52,1
beta[14],-0.23,0.005354296,0.24,-0.73,0.22,1
beta[15],-0.47,0.005478952,0.17,-0.79,-0.14,1
beta[16],-0.47,0.005397766,0.16,-0.78,-0.16,1
beta[17],0.54,0.005224437,0.15,0.26,0.84,1
beta[18],0.03,0.005416217,0.18,-0.32,0.38,1
beta[19],0.06,0.005292794,0.19,-0.3,0.43,1
beta[20],-0.067,0.000693112,0.038,-0.143,0.006,1
beta[21],0.038,0.000297644,0.019,0.001,0.076,1
beta[22],-0.38,0.007783364,0.45,-1.38,0.42,1
beta[23],-0.26,0.001590362,0.09,-0.44,-0.09,1
beta[24],0.08,0.001211999,0.07,-0.05,0.22,1
alpha_group1[1],0,0.001144912,0.04,-0.08,0.1,1
alpha_group1[2],0.04,0.002445925,0.06,-0.05,0.2,1.01
alpha_group1[3],0,0.001101778,0.05,-0.1,0.1,1
alpha_group1[4],-0.01,0.001400889,0.05,-0.14,0.09,1
alpha_group1[5],-0.02,0.001900586,0.07,-0.2,0.08,1
alpha_group1[6],0.01,0.001438837,0.06,-0.1,0.14,1
alpha_group1[7],0,0.001275751,0.05,-0.11,0.12,1
alpha_group1[8],0.01,0.001350056,0.06,-0.11,0.15,1
alpha_group1[9],-0.03,0.002516111,0.07,-0.22,0.07,1.01
alpha_group2[1],-0.07,0.003253319,0.12,-0.31,0.17,1
alpha_group2[2],0.1,0.003216434,0.11,-0.11,0.33,1
alpha_group2[3],-0.28,0.003282142,0.13,-0.54,-0.04,1
alpha_group2[4],-0.01,0.003399114,0.14,-0.28,0.26,1
alpha_group2[5],0.12,0.003564001,0.17,-0.22,0.47,1
alpha_group2[6],-0.11,0.003263718,0.17,-0.46,0.22,1
alpha_group2[7],0.08,0.003972713,0.25,-0.41,0.58,1
alpha_group2[8],0.37,0.004214267,0.17,0.06,0.72,1
alpha_group2[9],-0.03,0.004536888,0.27,-0.6,0.51,1
alpha_group2[10],0.21,0.003694975,0.16,-0.08,0.54,1
alpha_group2[11],0.18,0.003626689,0.18,-0.16,0.55,1
alpha_group2[12],0,0.004870797,0.32,-0.65,0.65,1
alpha_group2[13],-0.46,0.004030298,0.18,-0.84,-0.13,1
alpha_group2[14],-0.04,0.005429552,0.3,-0.68,0.56,1
alpha_group2[15],-0.15,0.005180841,0.3,-0.81,0.4,1
alpha_group2[16],0.07,0.005230956,0.32,-0.52,0.77,1
alpha_group2[17],-0.01,0.004726116,0.32,-0.67,0.61,1
alpha_group2[18],-0.04,0.005200016,0.32,-0.73,0.58,1
alpha_group2[19],-0.07,0.004464751,0.3,-0.69,0.52,1
alpha_group2[20],0.19,0.004318788,0.2,-0.2,0.6,1
sigma_group1,0.06,0.00303749,0.05,0,0.18,1.02
sigma_group2,0.3,0.003143065,0.1,0.15,0.53,1
tau,0.86,0.003471029,0.2,0.55,1.3,1
lp__,-3559,0.697019791,9,-3576,-3539,1.02